
States V || Symbols->         a|              b|              c|              d|              e|              f|              g|              h|              i|              j|              z|              x|              k|              =|              (|              )|              {|              }|              ~|              ?|              $|              :|              ;|              >|              <|              +|              -|              *|              ~|              ,|              [|              ]|              
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------              
              0|           s 18|            s 1|            s 2|            s 3|               |            s 4|            s 5|            s 6|            s 7|            s 8|               |           s 19|            s 9|               |           s 20|               |               |               |               |               |               |               |           s 21|               |               |               |               |               |               |               |               |               |
             69|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |         r C->x|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |
             70|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |           s 85|               |               |               |               |               |               |               |               |               |
             71|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |           s 86|               |
             72|               |           s 87|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |
             73|               |           s 32|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |
             74|               |      r D->hb;D|      r D->hb;D|      r D->hb;D|               |      r D->hb;D|      r D->hb;D|               |               |      r D->hb;D|               |               |      r D->hb;D|               |      r D->hb;D|               |               |      r D->hb;D|               |               |               |               |      r D->hb;D|               |               |               |               |               |               |               |               |               |
             75|               |         r D->x|         r D->x|         r D->x|               |         r D->x|         r D->x|               |               |         r D->x|               |               |         r D->x|               |         r D->x|               |               |         r D->x|               |               |               |               |         r D->x|               |               |               |               |               |               |               |               |               |
             76|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |           s 88|               |               |               |               |               |               |               |               |               |
             77|               |      r D->ib;D|      r D->ib;D|      r D->ib;D|               |      r D->ib;D|      r D->ib;D|               |               |      r D->ib;D|               |               |      r D->ib;D|               |      r D->ib;D|               |               |      r D->ib;D|               |               |               |               |      r D->ib;D|               |               |               |               |               |               |               |               |               |
             78|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |           s 89|               |               |               |               |               |               |               |               |               |
             79|               |      r D->kb;D|      r D->kb;D|      r D->kb;D|               |      r D->kb;D|      r D->kb;D|               |               |      r D->kb;D|               |               |      r D->kb;D|               |      r D->kb;D|               |               |      r D->kb;D|               |               |               |               |      r D->kb;D|               |               |               |               |               |               |               |               |               |
             80|           s 18|           s 28|            s 2|            s 3|               |               |               |               |               |               |               |               |           s 29|               |           s 20|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |
             81|           s 18|           s 28|            s 2|            s 3|               |               |               |               |               |               |               |               |           s 29|               |           s 20|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |
             82|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |     r K->b=J;L|               |               |               |               |               |               |               |               |               |               |               |               |               |               |
             83|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |           s 92|               |               |
             84|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |           s 93|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |
             85|           s 94|               |               |               |               |               |               |           s 72|            s 7|               |               |           s 75|           s 73|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |
             86|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |           s 95|
             87|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |           s 47|               |               |               |               |               |               |           s 96|               |               |
             88|           s 97|               |               |               |               |               |               |           s 72|            s 7|               |               |           s 75|           s 73|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |
             89|           s 98|               |               |               |               |               |               |           s 72|            s 7|               |               |           s 75|           s 73|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |
             90|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |     r N->P?J:J|               |               |               |     r N->P?J:J|     r N->P?J:J|               |               |               |               |               |               |               |               |               |
             91|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |           s 99|               |               |               |               |               |               |               |               |               |               |
             92|               |               |               |               |               |               |               |               |               |               |               |               |           s 71|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |
             93|          s 100|               |               |               |               |               |               |           s 72|            s 7|               |               |           s 75|           s 73|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |
             94|               |    r D->hb,b;D|    r D->hb,b;D|    r D->hb,b;D|               |    r D->hb,b;D|    r D->hb,b;D|               |               |    r D->hb,b;D|               |               |    r D->hb,b;D|               |    r D->hb,b;D|               |               |    r D->hb,b;D|               |               |               |               |    r D->hb,b;D|               |               |               |               |               |               |               |               |               |
             95|               |          s 101|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |
             96|               |           s 70|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |
             97|               |    r D->ib,b;D|    r D->ib,b;D|    r D->ib,b;D|               |    r D->ib,b;D|    r D->ib,b;D|               |               |    r D->ib,b;D|               |               |    r D->ib,b;D|               |    r D->ib,b;D|               |               |    r D->ib,b;D|               |               |               |               |    r D->ib,b;D|               |               |               |               |               |               |               |               |               |
             98|               |    r D->kb,b;D|    r D->kb,b;D|    r D->kb,b;D|               |    r D->kb,b;D|    r D->kb,b;D|               |               |    r D->kb,b;D|               |               |    r D->kb,b;D|               |    r D->kb,b;D|               |               |    r D->kb,b;D|               |               |               |               |    r D->kb,b;D|               |               |               |               |               |               |               |               |               |
             99|           s 18|           s 28|            s 2|            s 3|               |               |               |               |               |               |               |               |           s 29|               |           s 20|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |
            100|           s 18|            s 1|            s 2|            s 3|               |            s 4|            s 5|               |               |            s 8|               |           s 65|           s 29|               |           s 20|               |               |               |               |               |               |               |           s 21|               |               |               |               |               |               |               |               |               |
            101|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |   r C->hb,k[]b|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |
            102|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |   r N->(P)?J:J|               |               |               |   r N->(P)?J:J|   r N->(P)?J:J|               |               |               |               |               |               |               |               |               |
            103|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |          s 104|               |               |               |               |               |               |               |               |               |               |               |               |               |               |
            104|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               | r B->ha(C){DL}|               |               |               |               |               |               |               |               |               |               |               |
